city,state,shape,duration,date_time,lon,lat
Visalia,CA,light,2 minutes,2021-12-15T21:45:00,-119.34793664122137,36.35665012722647
Cincinnati,OH,triangle,14 seconds,2021-12-16T09:45:00,-84.48136299381886,39.17450311744155
Knoxville,TN,triangle,20-30 seconds,2021-12-10T19:30:00,-83.98011528822055,35.96156134085213
Fullerton,CA,unknown,2 minutes,2020-07-07T23:00:00,-117.9249784126984,33.87742158730159
Las Vegas,NV,oval,10 minutes,2020-04-23T03:00:00,-115.18659190010855,36.14124586319218
Orem,UT,other,10 seconds,2020-04-18T23:00:00,-111.7016845959596,40.29412297979798
Springfield,NJ,light,7 seconds,2020-05-13T03:37:00,-74.3296,40.6987
Janesville,MN,light,15 minutes,2020-04-18T21:05:00,-93.7286,44.0728
Bangor,MI,triangle,45 minutes,2020-04-18T22:30:00,-86.0813,42.3128
Sisters,OR,light,3 minutes,2020-04-16T21:10:00,-121.9283,44.4102
Warm Springs,OR,formation,15 minutes,2020-04-16T21:15:00,-121.3155,44.8237
El Sobrante,CA,formation,30 minutes,2020-04-15T05:30:00,-122.26938703703703,37.95619629629631
Davenport,IA,circle,1 hour,2020-03-28T08:00:00,-90.5987598944591,41.555164116094986
Wilmington,DE,light,1-2 minutes,2020-03-21T22:00:00,-75.56602068328716,39.750686611265
Fond du Lac,WI,sphere,2 minutes,2020-03-15T21:00:00,-88.41398658536586,43.75806463414634
Odessa,TX,diamond,45 minutes,2020-03-17T22:00:00,-102.36950956521738,31.869177391304348
Bayville,NJ,light,4 hours,2020-03-14T02:00:00,-74.1549,39.9093
San jose,CA,other,2 minutes,2018-07-04T23:00:00,-121.88970568836406,37.3388420218894
Gridley,CA,circle,2 minutes,2019-12-20T18:00:00,-121.765,39.3545
Williston,ND,light,Unknown,2006-05-01T22:00:00,-103.7017,48.218393939393934
Cambria,CA,flash,a moment,1983-04-14T19:30:00,-121.0184,35.5954
Arlington,WA,triangle,5-10 min.,1995-08-12T20:29:00,-121.67780000000002,48.1853
Lower Lake,CA,disk,10 minutes,1994-11-01T22:30:00,-122.5532,38.8898
Lufkin,TX,delta,5-7 min.,1993-02-09T19:00:00,-94.74656594594592,31.31522324324325
Ladson,SC,circle,5 minutes,1985-06-15T21:00:00,-80.1223,32.9831
Provo,UT,disk,20-30 min.,1972-07-01T19:00:00,-111.6240043373494,40.27123156626506
Idaho Falls,ID,circle,36 seconds,2020-03-01T09:00:00,-112.00362435897436,43.47350769230769
Pine Grove,PA,formation,15 minutes,2020-03-01T05:20:00,-76.397,40.5501
Anderson,CA,circle,5 minutes,2020-02-29T19:45:00,-122.3548,40.4458
El Sobrante,CA,circle,2 minutes,2020-02-27T05:00:00,-122.26938703703703,37.95619629629631
Inman,SC,triangle,15 minutes,2020-02-25T22:00:00,-82.0852,35.0484
Akron,OH,triangle,5 minutes,2020-02-25T03:23:00,-81.55790462427746,41.09643776493257
Aurora,MN,light,3-5 minutes,2020-02-24T04:50:00,-92.1332,47.4812
Edina,MO,light,10-15 seconds,2020-02-22T23:15:00,-92.1485,40.1668
Ann Arbor,MI,cigar,5-10 minutes,2020-02-21T17:00:00,-83.73625456187895,42.28027533875339
Chanhassen,MN,light,5 seconds,2019-12-14T20:00:00,-93.5588,44.858
Destin,FL,sphere,45 seconds,2019-09-14T10:00:00,-86.4573,30.3979835443038
Elverta,CA,other,10 minutes,2020-05-03T22:10:00,-121.4689,38.7378
Granby,CT,unknown,15 seconds,2020-05-03T21:04:00,-72.7961,41.9597
Murphy,NC,light,21:40 to 21:55,2020-05-03T21:40:00,-84.0923,35.1397
Medford,OR,light,5 mintes,2020-05-02T21:45:00,-122.84606678200691,42.315149480968856
Deming,NM,light,appr. 7 minutes,2020-05-02T21:00:00,-107.76305454545454,32.22860909090909
Folcroft,PA,circle,Unkown,2020-05-02T07:00:00,-75.2759,39.8918
Hamilton,ON,triangle,24 minutes,2020-05-01T22:30:00,-79.86514418377321,43.23776070381232
Rancho Santa Margarita,CA,formation,2 minutes,2020-05-01T21:10:00,-117.6119,33.6199
Los Angeles,CA,triangle,1,2020-05-01T21:00:00,-118.27993506711412,34.05070709047974
North Saanich,BC,light,3 minutes,2020-05-01T06:49:00,-123.45,48.70000000000001
Rochester,NY,sphere,At least 3 hours,2020-05-01T03:00:00,-77.61785896384644,43.1550415206858
Tampa,FL,circle,5 min maybe,2020-04-30T21:23:00,-82.47646101351351,28.006814358108112
Brooksville,FL,light,10,2020-04-30T21:15:00,-82.43392876712329,28.55954520547945
Vancouver,WA,circle,5 minutes,2020-04-30T17:00:00,-122.58490839694656,45.65808015267176
Tifton,GA,light,3 minutes,2020-04-30T09:14:00,-83.54016984126983,31.45901587301588
Tulsa,OK,circle,7seconds,2020-04-29T23:55:00,-95.93524541768043,36.10945587996756
Birmingham,AL,circle,Night,2020-04-29T21:00:00,-86.77946934404284,33.48091579651941
Pompano Beach,FL,oval,10 minutes,2020-04-30T00:00:00,-80.18338936017254,26.2595702372394
