WKT,ELEVATION,STATE_NAME,CITY_FIPS,CAPITAL,POP1990,STATE_FIPS,STATE_CITY,CITY_NAME,TYPE,Shape_X,Shape_Y
"POINT (-13680615.9661 5948890.3806)",-99,Washington,51300,Y,33840,53,5351300,Olympia,city,-13680615.9661,5948890.3806
"POINT (-11217411.1554 5910379.5365)",1680,North Dakota,07200,Y,49256,38,3807200,Bismarck,city,-11217411.1554,5910379.5365
"POINT (-12470147.845 5876453.1257)",4090,Montana,35600,Y,24569,30,3035600,Helena,city,-12470147.845,5876453.1257
"POINT (-10364279.8777 5613293.6142)",874,Minnesota,58000,Y,272235,27,2758000,St. Paul,city,-10364279.8777,5613293.6142
"POINT (-13694893.7415 5609619.3352)",154,Oregon,64900,Y,107786,41,4164900,Salem,city,-13694893.7415,5609619.3352
"POINT (-11167896.5804 5523342.4416)",1484,South Dakota,49600,Y,12906,46,4649600,Pierre,city,-11167896.5804,5523342.4416
"POINT (-7762219.3364 5516766.5518)",153,Maine,02100,Y,21325,23,2302100,Augusta,city,-7762219.3364,5516766.5518
"POINT (-12938337.2965 5404754.8121)",2726,Idaho,08830,Y,125738,16,1608830,Boise,city,-12938337.2965,5404754.8121
"POINT (-7965976.4661 5347302.5892)",288,New Hampshire,14200,Y,36006,33,3314200,Concord,city,-7965976.4661,5347302.5892
"POINT (-9950587.1306 5324126.666)",863,Wisconsin,48000,Y,191262,55,5548000,Madison,city,-9950587.1306,5324126.666
"POINT (-9412505.6614 5267804.5894)",-99,Michigan,46000,Y,127321,26,2646000,Lansing,city,-9412505.6614,5267804.5894
"POINT (-8215221.068 5261246.2219)",150,New York,01000,Y,101082,36,3601000,Albany,city,-8215221.068,5261246.2219
"POINT (-7910360.9301 5214104.7243)",20,Massachusetts,07000,Y,574283,25,2507000,Boston,city,-7910360.9301,5214104.7243
"POINT (-7950352.6596 5134361.7129)",24,Rhode Island,59000,Y,160728,44,4459000,Providence,city,-7950352.6596,5134361.7129
"POINT (-8091079.8594 5125963.1796)",-99,Connecticut,37000,Y,139739,09,0937000,Hartford,city,-8091079.8594,5125963.1796
"POINT (-10421467.3386 5097786.0753)",803,Iowa,21000,Y,193187,19,1921000,Des Moines,city,-10421467.3386,5097786.0753
"POINT (-11665495.6355 5033817.5208)",6098,Wyoming,13900,Y,50008,56,5613900,Cheyenne,city,-11665495.6355,5033817.5208
"POINT (-10763311.6043 4985299.344)",1176,Nebraska,28000,Y,191972,31,3128000,Lincoln,city,-10763311.6043,4985299.344
"POINT (-12460066.7342 4979537.4479)",4260,Utah,67000,Y,159936,49,4967000,Salt Lake City,city,-12460066.7342,4979537.4479
"POINT (-8558710.4675 4906152.8279)",360,Pennsylvania,32800,Y,52376,42,4232800,Harrisburg,city,-8558710.4675,4906152.8279
"POINT (-8322671.342 4898476.5282)",50,New Jersey,74000,Y,88675,34,3474000,Trenton,city,-8322671.342,4898476.5282
"POINT (-9238102.8636 4864344.2116)",-99,Ohio,18000,Y,632910,39,3918000,Columbus,city,-9238102.8636,4864344.2116
"POINT (-9979208.8799 4834239.2277)",600,Illinois,72000,Y,105227,17,1772000,Springfield,city,-9979208.8799,4834239.2277
"POINT (-9589748.7098 4833509.8694)",717,Indiana,36010,Y,731327,18,1836010,Indianapolis,city (remainder),-9589748.7098,4833509.8694
"POINT (-11674436.298 4832290.5162)",5280,Colorado,20000,Y,467610,08,0820000,Denver,city,-11674436.298,4832290.5162
"POINT (-8406523.8287 4744445.5808)",36,Delaware,21200,Y,27630,10,1021200,Dover,city,-8406523.8287,4744445.5808
"POINT (-13329866.5594 4742928.7787)",4687,Nevada,09700,Y,40443,32,3209700,Carson City,city,-13329866.5594,4742928.7787
"POINT (-10652414.6306 4727102.7866)",951,Kansas,71000,Y,119883,20,2071000,Topeka,city,-10652414.6306,4727102.7866
"POINT (-8516244.0166 4717628.5512)",57,Maryland,01600,Y,33187,24,2401600,Annapolis,city,-8516244.0166,4717628.5512
"POINT (-10262616.2395 4660539.9513)",702,Missouri,37000,Y,35481,29,2937000,Jefferson City,city,-10262616.2395,4660539.9513
"POINT (-13521809.1613 4659802.2203)",25,California,64000,Y,369365,06,0664000,Sacramento,city,-13521809.1613,4659802.2203
"POINT (-9087042.2158 4629080.9212)",620,West Virginia,14600,Y,57287,54,5414600,Charleston,city,-9087042.2158,4629080.9212
"POINT (-9447145.3888 4606421.5578)",510,Kentucky,28900,Y,25968,21,2128900,Frankfort,city,-9447145.3888,4606421.5578
"POINT (-8624399.1242 4513410.978)",-99,Virginia,67000,Y,203056,51,5167000,Richmond,city,-8624399.1242,4513410.978
"POINT (-9660843.3073 4324260.9671)",440,Tennessee,52006,Y,488374,47,4752006,Nashville-Davidson,city/county (remainder),-9660843.3073,4324260.9671
"POINT (-8756222.042 4276171.0944)",-99,North Carolina,55000,Y,207951,37,3755000,Raleigh,city,-8756222.042,4276171.0944
"POINT (-11794821.9741 4256478.3417)",6989,New Mexico,70500,Y,55859,35,3570500,Santa Fe,city,-11794821.9741,4256478.3417
